"product-thumbnail__product-link href","product-thumbnail__image src","product-thumbnail__product-name","product-thumbnail__product-title","product-thumbnail__product-short-title","product-thumbnail__product-price","product-thumbnail__badge_image src","product-thumbnail__product-swatch-images href","product-thumbnail__product-swatch-images src","product-thumbnail__product-swatch-images href 2","product-thumbnail__product-swatch-images src 2","product-thumbnail__product-swatch-images href 3","product-thumbnail__product-swatch-images src 3","product-thumbnail__product-swatch-images href 4","product-thumbnail__product-variant-count"
"https://www.clarksusa.com/c/Torhill-Bee/p/26172085","https://clarks.scene7.com/is/image/Pangaea2Build/26172085_W_1?fmt=jpg&wid=300","Torhill Bee","Womens Shoes","Off White Leather","$120.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Torhill-Bee/p/26172084","https://clarks.scene7.com/is/image/Pangaea2Build/26172084_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Dash-Lite-Wish/p/26171949","https://clarks.scene7.com/is/image/Pangaea2Build/26171949_W_1?fmt=jpg&wid=300","Dash Lite Wish","Womens Sport Sandals","Off White Combi","$100.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Dash-Lite-Wish/p/26171948","https://clarks.scene7.com/is/image/Pangaea2Build/26171948_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Dash-Lite-Wish/p/26171950","https://clarks.scene7.com/is/image/Pangaea2Build/26171950_W_1?fmt=jpg&wid=65","","","",""
"https://www.clarksusa.com/c/ATL-Trek-Strap/p/26170580","https://clarks.scene7.com/is/image/Pangaea2Build/26170580_W_1?fmt=jpg&wid=300","ATL Trek Strap","Womens Sport Shoes","Light Grey Combination","$130.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/ATL-Trek-Strap/p/26170579","https://clarks.scene7.com/is/image/Pangaea2Build/26170579_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Dash-Lite-Cross/p/26170426","https://clarks.scene7.com/is/image/Pangaea2Build/26170426_W_1?fmt=jpg&wid=300","Dash Lite Cross","Womens Sport Sandals","Peach Combination","$90.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Dash-Lite-Cross/p/26170425","https://clarks.scene7.com/is/image/Pangaea2Build/26170425_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Orinoco-Band/p/26173526","https://clarks.scene7.com/is/image/Pangaea2Build/26173526_W_1?fmt=jpg&wid=300","Orinoco Band","Womens Sandals","Black Leather","$100.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","","","","","","","",""
"https://www.clarksusa.com/c/Fiana-Braley/p/26171202","https://clarks.scene7.com/is/image/Pangaea2Build/26171202_W_1?fmt=jpg&wid=300","Fiana Braley","Womens Sport Shoes","Black Leather","$85.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Fiana-Braley/p/26171205","https://clarks.scene7.com/is/image/Pangaea2Build/26171205_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Talene-Pace/p/26171331","https://clarks.scene7.com/is/image/Pangaea2Build/26171331_W_1?fmt=jpg&wid=300","Talene Pace","Womens Shoes","Black Leather","$95.00","https://s7g10.scene7.com/is/image/Pangaea2Build/20offSelectStylesBadge100x100px?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Talene-Pace/p/26171332","https://clarks.scene7.com/is/image/Pangaea2Build/26171332_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Seren30-Buckle/p/26172058","https://clarks.scene7.com/is/image/Pangaea2Build/26172058_W_1?fmt=jpg&wid=300","Seren30 Buckle","Womens Shoes","Black Leather","$110.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","","","","","","","",""
"https://www.clarksusa.com/c/Dash-Lite-Strap/p/26170437","https://clarks.scene7.com/is/image/Pangaea2Build/26170437_W_1?fmt=jpg&wid=300","Dash Lite Strap","Womens Sport Shoes","Light Grey Combination","$110.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Dash-Lite-Strap/p/26170436","https://clarks.scene7.com/is/image/Pangaea2Build/26170436_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Craft-Match-Lo/p/26170391","https://clarks.scene7.com/is/image/Pangaea2Build/26170391_W_1?fmt=jpg&wid=300","Craft Match Lo","Womens Sport Shoes","Off White Int","$140.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Craft-Match-Lo/p/26170387","https://clarks.scene7.com/is/image/Pangaea2Build/26170387_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Craft-Match-Lo/p/26170388","https://clarks.scene7.com/is/image/Pangaea2Build/26170388_W_1?fmt=jpg&wid=65","","","",""
"https://www.clarksusa.com/c/ATL-Trek-Knit-Waterproof/p/26170573","https://clarks.scene7.com/is/image/Pangaea2Build/26170573_W_1?fmt=jpg&wid=300","ATL Trek Knit Waterproof","Womens Sport Shoes","Off White Text","$140.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/ATL-Trek-Knit-Waterproof/p/26170570","https://clarks.scene7.com/is/image/Pangaea2Build/26170570_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/ATL-Trek-Knit-Waterproof/p/26172716","https://clarks.scene7.com/is/image/Pangaea2Build/26172716_W_1?fmt=jpg&wid=65","","","",""
"https://www.clarksusa.com/c/Rena-Jazz/p/26170592","https://clarks.scene7.com/is/image/Pangaea2Build/26170592_W_1?fmt=jpg&wid=300","Rena Jazz","Womens Shoes","Black Leather","$100.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Rena-Jazz/p/26170593","https://clarks.scene7.com/is/image/Pangaea2Build/26170593_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Rena-Jazz/p/26170594","https://clarks.scene7.com/is/image/Pangaea2Build/26170594_W_1?fmt=jpg&wid=65","","","",""
"https://www.clarksusa.com/c/LAURIEANN-EASE/p/26172238","https://clarks.scene7.com/is/image/Pangaea2Build/26172238_W_1?fmt=jpg&wid=300","LAURIEANN EASE","Womens Shoes","Black Leather","$85.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/LAURIEANN-EASE/p/26172239","https://clarks.scene7.com/is/image/Pangaea2Build/26172239_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Sarafyna-Sky/p/26171046","https://clarks.scene7.com/is/image/Pangaea2Build/26171046_W_1?fmt=jpg&wid=300","Sarafyna Sky","Womens Shoes","Black Leather","$110.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Sarafyna-Sky/p/26171045","https://clarks.scene7.com/is/image/Pangaea2Build/26171045_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Sarafyna-Sky/p/26171047","https://clarks.scene7.com/is/image/Pangaea2Build/26171047_W_1?fmt=jpg&wid=65","","","",""
"https://www.clarksusa.com/c/Rena-Hop/p/26170587","https://clarks.scene7.com/is/image/Pangaea2Build/26170587_W_1?fmt=jpg&wid=300","Rena Hop","Womens Shoes","Black Leather","$100.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Rena-Hop/p/26170589","https://clarks.scene7.com/is/image/Pangaea2Build/26170589_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Rena-Hop/p/26170590","https://clarks.scene7.com/is/image/Pangaea2Build/26170590_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Rena-Hop/p/26170953","https://clarks.scene7.com/is/image/Pangaea2Build/26170953_W_1?fmt=jpg&wid=65","",""
"https://www.clarksusa.com/c/Elleri-Rae/p/26171443","https://clarks.scene7.com/is/image/Pangaea2Build/26171443_W_1?fmt=jpg&wid=300","Elleri Rae","Womens Sandals","Nougat","$120.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Elleri-Rae/p/26171444","https://clarks.scene7.com/is/image/Pangaea2Build/26171444_W_1?fmt=jpg&wid=65","","","","","",""
"https://www.clarksusa.com/c/Yacht-Cross/p/26172153","https://clarks.scene7.com/is/image/Pangaea2Build/26172153_W_1?fmt=jpg&wid=300","Yacht Cross","Womens Sandals","Nougat","$100.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Yacht-Cross/p/26172152","https://clarks.scene7.com/is/image/Pangaea2Build/26172152_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Yacht-Cross/p/26172154","https://clarks.scene7.com/is/image/Pangaea2Build/26172154_W_1?fmt=jpg&wid=65","","","",""
"https://www.clarksusa.com/c/Elleri-Plum/p/26171439","https://clarks.scene7.com/is/image/Pangaea2Build/26171439_W_1?fmt=jpg&wid=300","Elleri Plum","Womens Sandals","Black Leather","$120.00","https://s7g10.scene7.com/is/image/Pangaea2Build/AW22NewArrivalsBadgeUS?fmt=jpg&wid=90&hei=90","https://www.clarksusa.com/c/Elleri-Plum/p/26171440","https://clarks.scene7.com/is/image/Pangaea2Build/26171440_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Elleri-Plum/p/26171441","https://clarks.scene7.com/is/image/Pangaea2Build/26171441_W_1?fmt=jpg&wid=65","https://www.clarksusa.com/c/Elleri-Plum/p/26171442","https://clarks.scene7.com/is/image/Pangaea2Build/26171442_W_1?fmt=jpg&wid=65","",""
